Campaign Name,Ad Set Name,Ad Name,Campaign Objective,Ad Set Daily Budget,Bid Strategy,Countries,Ad Status,Title,Body,Link Description,Call to Action,Image Hash,Website URL
phnews-ph-t-bsp-002,stub_ad_44e4b37a / adset,stub_ad_44e4b37a,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,PH,PAUSED,本月央行会降息吗？,央行利率决议：接下来会怎样？跟踪我们的实时预测。,查看预测,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/ph/2026-08-24/t-bsp-002_zh_a-bsp-s_1-1.png,https://phnews.example/ph?topic=t-bsp-002
phnews-ph-t-bsp-002,stub_ad_4e14c5db / adset,stub_ad_4e14c5db,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,PH,PAUSED,Will the BSP cut rates this month?,BSP interest rate decision: what happens next? Follow our live forecast.,See the forecast,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/ph/2026-08-24/t-bsp-002_en_a-bsp-s_1-1.png,https://phnews.example/ph?topic=t-bsp-002
phnews-ph-t-typhoon-003,stub_ad_5fa10eb2 / adset,stub_ad_5fa10eb2,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,PH,PAUSED,本周会有台风登陆吗？,台风季登陆前景：接下来会怎样？跟踪我们的实时预测。,查看预测,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/ph/2026-08-24/t-typhoon-003_zh_a-typhoon-s_1-1.png,https://phnews.example/ph?topic=t-typhoon-003
phnews-id-t-fuel-001,stub_ad_73bc9464 / adset,stub_ad_73bc9464,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,ID,PAUSED,Will pump prices rise next week?,Philippine fuel price change this week: what happens next? Follow our live forecast.,See the forecast,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/id/2026-08-24/t-fuel-001_en_a-fuel-s_1-1.png,https://phnews.example/ph?topic=t-fuel-001
phnews-ph-t-fuel-001,stub_ad_7d01c465 / adset,stub_ad_7d01c465,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,PH,PAUSED,下周油价会上涨吗？,本周菲律宾油价变动：接下来会怎样？跟踪我们的实时预测。,查看预测,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/ph/2026-08-24/t-fuel-001_zh_a-fuel-s_1-1.png,https://phnews.example/ph?topic=t-fuel-001
phnews-id-t-bsp-002,stub_ad_a422abf7 / adset,stub_ad_a422abf7,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,ID,PAUSED,Will the BSP cut rates this month?,BSP interest rate decision: what happens next? Follow our live forecast.,See the forecast,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/id/2026-08-24/t-bsp-002_en_a-bsp-s_1-1.png,https://phnews.example/ph?topic=t-bsp-002
phnews-id-t-fuel-001,stub_ad_a9143486 / adset,stub_ad_a9143486,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,ID,PAUSED,下周油价会上涨吗？,本周菲律宾油价变动：接下来会怎样？跟踪我们的实时预测。,查看预测,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/id/2026-08-24/t-fuel-001_zh_a-fuel-s_1-1.png,https://phnews.example/ph?topic=t-fuel-001
phnews-id-t-bsp-002,stub_ad_c09334d8 / adset,stub_ad_c09334d8,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,ID,PAUSED,本月央行会降息吗？,央行利率决议：接下来会怎样？跟踪我们的实时预测。,查看预测,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/id/2026-08-24/t-bsp-002_zh_a-bsp-s_1-1.png,https://phnews.example/ph?topic=t-bsp-002
phnews-ph-t-fuel-001,stub_ad_c3d41162 / adset,stub_ad_c3d41162,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,PH,PAUSED,Will pump prices rise next week?,Philippine fuel price change this week: what happens next? Follow our live forecast.,See the forecast,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/ph/2026-08-24/t-fuel-001_en_a-fuel-s_1-1.png,https://phnews.example/ph?topic=t-fuel-001
phnews-id-t-typhoon-003,stub_ad_d5415b62 / adset,stub_ad_d5415b62,OUTCOME_TRAFFIC,20.0,LOWEST_COST_WITHOUT_CAP,ID,PAUSED,Will a typhoon make landfall this week?,Typhoon season landfall outlook: what happens next? Follow our live forecast.,See the forecast,LEARN_MORE,/home/runner/work/Content-ads/Content-ads/artifacts/images/id/2026-08-24/t-typhoon-003_en_a-typhoon-s_1-1.png,https://phnews.example/ph?topic=t-typhoon-003
